body_part;0;5;10;15;20;25;30;35;40
upper_arm_left;;;3;3;;3;;;
shoulder_elevated_left;;;;;;;;;
arm_abducted_left;;;;;;;;;
upper_arm_right;;;;;;;;;
shoulder_elevated_right;;;;;;;;;
arm_abducted_right;;;;;;;;;
forearm_left;;2;;;2;;;;
crossed_midline_left;;;;;;;;;
rotated_outwards_left;;;;;;;;;
forearm_right;;2;2;2;2;2;;;
crossed_midline_right;;;;;;;;;
rotated_outwards_right;;;;;;;;;
neck;;;;;;;;;
neck_rotated;;;;;;;;;
neck_tilted;;;;;;;;;
trunk;;;;;;;;;
trunk_rotated;;;;;;;;;
trunk_sidebent;;;;;;;;;
